Gene description	Gene name
RNA, U6 small nuclear 1145, pseudogene [Source:HGNC Symbol;Acc:HGNC:48108]	RNU6-1145P
basic helix-loop-helix family member a9 [Source:HGNC Symbol;Acc:HGNC:35126]	BHLHA9
apolipoprotein C4 [Source:HGNC Symbol;Acc:HGNC:611]	APOC4
syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	SDC1
olfactory receptor family 52 subfamily E member 5 [Source:HGNC Symbol;Acc:HGNC:15214]	OR52E5
PR/SET domain 11 [Source:HGNC Symbol;Acc:HGNC:13996]	PRDM11
APOC4-APOC2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44426]	APOC4-APOC2
apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]	APOC2
RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285]	RANBP10
DRG1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54701]	DRG1P1
RNA, U7 small nuclear 113 pseudogene [Source:HGNC Symbol;Acc:HGNC:45647]	RNU7-113P
solute carrier family 7 member 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:32724]	SLC7A15P
RNA, 5S ribosomal pseudogene 86 [Source:HGNC Symbol;Acc:HGNC:42884]	RNA5SP86
ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	RHOB
CLPTM1 regulator of GABA type A receptor forward trafficking [Source:HGNC Symbol;Acc:HGNC:2087]	CLPTM1
heat shock protein 90kDa alpha (cytosolic), class B member 1 (HSP90AB1) pseudogene	
RNA, U6 small nuclear 817, pseudogene [Source:HGNC Symbol;Acc:HGNC:47780]	RNU6-817P
long intergenic non-protein coding RNA 1762 [Source:HGNC Symbol;Acc:HGNC:52552]	LINC01762
ribosomal protein L5 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:36583]	RPL5P7
long intergenic non-protein coding RNA 1960 [Source:HGNC Symbol;Acc:HGNC:52785]	LINC01960
ribosomal protein SA pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36362]	RPSAP24
novel transcript, antisense to CRK	
Obg like ATPase 1 [Source:HGNC Symbol;Acc:HGNC:28833]	OLA1
zinc finger and BTB domain containing 41 [Source:HGNC Symbol;Acc:HGNC:24819]	ZBTB41
ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]	EFNA4
novel ephrin-A4 (EFNA4) and ephrin-A3 (EFNA3) protein	
ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	EFNA3
SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]	SMG1
ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]	EFNA1
tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	TP63
SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295]	SHANK2
RNA, 7SL, cytoplasmic 65, pseudogene [Source:HGNC Symbol;Acc:HGNC:46081]	RN7SL65P
LRRC2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54785]	LRRC2P1
solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]	SLC50A1
heterogeneous nuclear ribonucleoprotein A1 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:48768]	HNRNPA1P39
long intergenic non-protein coding RNA 1305 [Source:HGNC Symbol;Acc:HGNC:27690]	LINC01305
Sp9 transcription factor [Source:HGNC Symbol;Acc:HGNC:30690]	SP9
corepressor interacting with RBPJ, CIR1 [Source:HGNC Symbol;Acc:HGNC:24217]	CIR1
secernin 3 [Source:HGNC Symbol;Acc:HGNC:30382]	SCRN3
zinc finger protein 44 [Source:HGNC Symbol;Acc:HGNC:13110]	ZNF44
zinc finger protein 563 [Source:HGNC Symbol;Acc:HGNC:30498]	ZNF563
zinc finger protein 442 [Source:HGNC Symbol;Acc:HGNC:20877]	ZNF442
ribosomal protein S29 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:35779]	RPS29P23
high mobility group nucleosomal binding domain 2 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:39382]	HMGN2P18
keratinocyte associated protein 2 [Source:HGNC Symbol;Acc:HGNC:28942]	KRTCAP2
novel pseudogene similar to zinc finger protein 799 (ZNF799)	
RPA3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54790]	RPA3P1
zinc finger protein 799 [Source:HGNC Symbol;Acc:HGNC:28071]	ZNF799
RNA, U6 small nuclear 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:34249]	RNU6-5P
novel transcript, antisense WIPF1	
IZUMO1 receptor, JUNO [Source:HGNC Symbol;Acc:HGNC:32565]	IZUMO1R
zinc finger protein 443 [Source:HGNC Symbol;Acc:HGNC:20878]	ZNF443
microRNA 92b [Source:HGNC Symbol;Acc:HGNC:32920]	MIR92B
novel transcript, antisense to ZNF709	
non-SMC condensin II complex subunit D3 [Source:HGNC Symbol;Acc:HGNC:28952]	NCAPD3
zinc finger protein 709 [Source:HGNC Symbol;Acc:HGNC:20629]	ZNF709
thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]	THBS3
GRB10 interacting GYF protein 2 [Source:HGNC Symbol;Acc:HGNC:11960]	GIGYF2
MT-ND2 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:52084]	MTND2P40
MT-CO1 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:52092]	MTCO1P27
MT-CO2 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:52156]	MTCO2P27
MT-ATP6 pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:52183]	MTATP6P27
peptidylprolyl isomerase A pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:38037]	PPIAP20
glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	GCDH
chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900]	C17orf67
novel transcript, sense intronic to C17orf67	
diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]	DGKE
cAMP responsive element binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:2350]	CREBL2
ribosomal protein L21 pseudogene 136 [Source:HGNC Symbol;Acc:HGNC:49854]	RPL21P136
G protein-coupled receptor 19 [Source:HGNC Symbol;Acc:HGNC:4473]	GPR19
synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]	SYCE2
RNA, U6 small nuclear 165, pseudogene [Source:HGNC Symbol;Acc:HGNC:47128]	RNU6-165P
high mobility group nucleosome binding domain 1 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:39376]	HMGN1P32
septin 7 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:38044]	SEPTIN7P8
apolipoprotein L domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25268]	APOLD1
microRNA 371a [Source:HGNC Symbol;Acc:HGNC:31785]	MIR371A
microRNA 371b [Source:HGNC Symbol;Acc:HGNC:41863]	MIR371B
microRNA 372 [Source:HGNC Symbol;Acc:HGNC:31786]	MIR372
microRNA 373 [Source:HGNC Symbol;Acc:HGNC:31787]	MIR373
NLR family pyrin domain containing 12 [Source:HGNC Symbol;Acc:HGNC:22938]	NLRP12
tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	TRIM25
ankyrin repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:21316]	ANKRD11
microRNA 613 [Source:HGNC Symbol;Acc:HGNC:32869]	MIR613
syntaxin 8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49855]	STX8P1
DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]	DDX47
MBL associated serine protease 1 [Source:HGNC Symbol;Acc:HGNC:6901]	MASP1
novel transcript, sense intronic FOXK2	
novel transcript, antisense FOXK2	
WD repeat domain 45B [Source:HGNC Symbol;Acc:HGNC:25072]	WDR45B
MYADM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40384]	MYADM-AS1
myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	MYADM
chloride intracellular channel 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32691]	CLIC1P1
ribosomal protein L12 pseudogene 33 [Source:HGNC Symbol;Acc:HGNC:35696]	RPL12P33
HNF1A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26785]	HNF1A-AS1
solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	SLC30A5
HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	HNF1A
RNA, U6 small nuclear 678, pseudogene [Source:HGNC Symbol;Acc:HGNC:47641]	RNU6-678P
RNA, 5S ribosomal pseudogene 140 [Source:HGNC Symbol;Acc:HGNC:43040]	RNA5SP140
transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	TF
protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	PRKCG
RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18284]	RAB40B
F-box and leucine rich repeat protein 17 [Source:HGNC Symbol;Acc:HGNC:13615]	FBXL17
microRNA 4525 [Source:HGNC Symbol;Acc:HGNC:41903]	MIR4525
solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	SLCO2A1
fructosamine 3 kinase related protein [Source:HGNC Symbol;Acc:HGNC:25700]	FN3KRP
ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	ARL15
DExH-box helicase 29 [Source:HGNC Symbol;Acc:HGNC:15815]	DHX29
calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	CACNG7
glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	GPX1
calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	CACNG8
microRNA 935 [Source:HGNC Symbol;Acc:HGNC:33678]	MIR935
H3 histone pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:43804]	H3P13
calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	CACNG6
PEX5L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41251]	PEX5L-AS1
fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822]	FN3K
PEX5L antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:41252]	PEX5L-AS2
novel transcript, antisense to PEX5L	
ubiquinol-cytochrome c reductase hinge protein pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:38047]	UQCRHP4
MyoD family inhibitor domain containing 2 [Source:HGNC Symbol;Acc:HGNC:53442]	MDFIC2
carboxypeptidase B1 [Source:HGNC Symbol;Acc:HGNC:2299]	CPB1
novel transcript, sense intronic FN3K	
7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	DHCR7
haptoglobin [Source:HGNC Symbol;Acc:HGNC:5141]	HP
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	ATP2A2
chromosome 5 open reading frame 51 [Source:HGNC Symbol;Acc:HGNC:27750]	C5orf51
receptor accessory protein 2 [Source:HGNC Symbol;Acc:HGNC:17975]	REEP2
interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]	IL23R
angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	AGTR1
arrestin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25225]	ARRDC2
FLNB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40239]	FLNB-AS1
RNA, U6 small nuclear 586, pseudogene [Source:HGNC Symbol;Acc:HGNC:47549]	RNU6-586P
deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	DNASE1L3
RNA, U4atac small nuclear 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:46890]	RNU4ATAC4P
DNAJB6 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:54757]	DNAJB6P4
RNA, U6 small nuclear 387, pseudogene [Source:HGNC Symbol;Acc:HGNC:47350]	RNU6-387P
RNA, U6 small nuclear 1031, pseudogene [Source:HGNC Symbol;Acc:HGNC:47994]	RNU6-1031P
poly(A) binding protein, cytoplasmic 4 (PABPC4) pseudogene	
complement C3b/C4b receptor 1 like [Source:HGNC Symbol;Acc:HGNC:2335]	CR1L
CDC like kinase 4 [Source:HGNC Symbol;Acc:HGNC:13659]	CLK4
CD46 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6959]	CD46P1
cell division cycle associated 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49772]	CDCA4P3
RNA, 5S ribosomal pseudogene 534 [Source:HGNC Symbol;Acc:HGNC:53803]	RNA5SP534
abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]	ABHD6
fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	FZR1
CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	CD46
RNA, 7SL, cytoplasmic 769, pseudogene [Source:HGNC Symbol;Acc:HGNC:46785]	RN7SL769P
PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	PYM1
ribonuclease P/MRP subunit p14 [Source:HGNC Symbol;Acc:HGNC:30327]	RPP14
premelanosome protein [Source:HGNC Symbol;Acc:HGNC:10880]	PMEL
FAD dependent oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26927]	FOXRED1
PX domain containing serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:23326]	PXK
glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	GPX3
tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]	TSPAN4
succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	SDHA
somatostatin receptor 5 [Source:HGNC Symbol;Acc:HGNC:11334]	SSTR5
superoxide dismutase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45135]	SOD1P2
novel transcript, antisense to SALL1	
spalt like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10524]	SALL1
major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]	MFSD12
septin 1 [Source:HGNC Symbol;Acc:HGNC:2879]	SEPTIN1
phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]	PDE4D
C-type lectin domain family 18 member A [Source:HGNC Symbol;Acc:HGNC:30388]	CLEC18A
cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	CDK2
novel transcript, antisense to MFSD12	
high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	HMG20B
TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]	TAF10
GIPC PDZ domain containing family member 3 [Source:HGNC Symbol;Acc:HGNC:18183]	GIPC3
necdin homolog (mouse) (NDN) pseudogene	
novel transcript, sense intronic to CAPS2	
GLIPR1 like 1 [Source:HGNC Symbol;Acc:HGNC:28392]	GLIPR1L1
coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	CCDC124
transmembrane protein 216 [Source:HGNC Symbol;Acc:HGNC:25018]	TMEM216
GLIPR1 like 2 [Source:HGNC Symbol;Acc:HGNC:28592]	GLIPR1L2
chromosome 19 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:34496]	C19orf71
novel transcript, antisense to FKBP8	
FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	FKBP8
GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	GLIPR1
interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]	IL34
tryptase gamma 1 [Source:HGNC Symbol;Acc:HGNC:14134]	TPSG1
cell division cycle associated 4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:49773]	CDCA4P4
MIR29B2 and MIR29C host gene [Source:HGNC Symbol;Acc:HGNC:32018]	MIR29B2CHG
katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068]	KATNIP
novel transcript, antisense to GLIPR1	
KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	KRR1
microRNA 29c [Source:HGNC Symbol;Acc:HGNC:31621]	MIR29C
microRNA 29b-2 [Source:HGNC Symbol;Acc:HGNC:31620]	MIR29B2
CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]	CD34
eukaryotic translation elongation factor 1 beta 2 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:51454]	EEF1B2P7
potassium inwardly rectifying channel subfamily J member 13 [Source:HGNC Symbol;Acc:HGNC:6259]	KCNJ13
secondary ossification center associated regulator of chondrocyte maturation [Source:HGNC Symbol;Acc:HGNC:33763]	SNORC
novel transcript, antisense to CD34	
long intergenic non-protein coding RNA 2767 [Source:HGNC Symbol;Acc:HGNC:54287]	LINC02767
olfactory receptor family 10 subfamily J member 6 pseudogene [Source:HGNC Symbol;Acc:HGNC:14994]	OR10J6P
RNA, U6 small nuclear 828, pseudogene [Source:HGNC Symbol;Acc:HGNC:47791]	RNU6-828P
RNA, U6 small nuclear 37, pseudogene [Source:HGNC Symbol;Acc:HGNC:34281]	RNU6-37P
RNA, 7SL, cytoplasmic 731, pseudogene [Source:HGNC Symbol;Acc:HGNC:46747]	RN7SL731P
N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	NECAB2
neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	NGEF
phosphogluconate dehydrogenase (PGD) pseudogene	
phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	PGD
olfactory receptor family 6 subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:19632]	OR6C4
TLC domain containing 3B [Source:HGNC Symbol;Acc:HGNC:25295]	TLCD3B
lamin tail domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26683]	LMNTD1
novel transcript, antisense to APITD1-CORT	
CENPS-CORT readthrough [Source:HGNC Symbol;Acc:HGNC:38843]	CENPS-CORT
membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]	MBTPS1
WD repeat domain 53 (WDR53) pseudogene	
pyruvate dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:8808]	PDHB
KxDL motif containing 1 [Source:HGNC Symbol;Acc:HGNC:28420]	KXD1
DENN domain containing 2B [Source:HGNC Symbol;Acc:HGNC:11350]	DENND2B
centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	CENPS
novel transcript, antisense to NGEF	
DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	DFFA
neuraminidase 2 [Source:HGNC Symbol;Acc:HGNC:7759]	NEU2
novel transcript, antisense to WIPF1 and CHRNA1	
H3 histone pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42980]	H3P6
cholinergic receptor nicotinic alpha 1 subunit [Source:HGNC Symbol;Acc:HGNC:1955]	CHRNA1
TRHDE antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27471]	TRHDE-AS1
novel transcript, antisense to DFFA	
interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	IL12RB2
H3 histone pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:54468]	H3P35
coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44698]	CHCHD3P2
peptidylprolyl isomerase A pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:53673]	PPIAP49
novel transcript, antisense to PDHB	
proteasome 26S subunit, non-ATPase 7 [Source:HGNC Symbol;Acc:HGNC:9565]	PSMD7
peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]	PEX5L
erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	ERBB3
novel transcript, antisense to KXD1	
novel transcript, antisense to PSMD7	
ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:HGNC:12458]	UBA52
pyruvate dehydrogenase phosphatase regulatory subunit 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:27556]	PDPR2P
ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	ARL5A
C-type lectin domain family 18 member B [Source:HGNC Symbol;Acc:HGNC:33849]	CLEC18B
novel transcript, antisense to ARL5A	
WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	WIPF1
novel transcript, antisense to CLEC18B	
RNA, U6 small nuclear 237, pseudogene [Source:HGNC Symbol;Acc:HGNC:47200]	RNU6-237P
nuclear pore complex interacting protein family member B15 [Source:HGNC Symbol;Acc:HGNC:34409]	NPIPB15
NSA2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54580]	NSA2P1
ATP binding cassette subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:14640]	ABCC12
small nucleolar RNA, H/ACA box 77 [Source:HGNC Symbol;Acc:HGNC:32663]	SNORA77
lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005]	LAX1
zinc finger BED-type containing 6 [Source:HGNC Symbol;Acc:HGNC:33273]	ZBED6
SNF7 domain containing 2 (SNF7DC20) pseudogene	
ribosomal protein L35a pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:35570]	RPL35AP5
small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	SNRPE
NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	NOP16
cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	CRLF1
keratin 8 pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:33381]	KRT8P29
sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]	SMPDL3B
transmembrane protein 231 [Source:HGNC Symbol;Acc:HGNC:37234]	TMEM231
thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]	TRHDE
required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	REX1BD
cyclin J like [Source:HGNC Symbol;Acc:HGNC:25876]	CCNJL
NPL pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54747]	NPLP1
DExH-box helicase 57 [Source:HGNC Symbol;Acc:HGNC:20086]	DHX57
transmembrane protein 59 like [Source:HGNC Symbol;Acc:HGNC:13237]	TMEM59L
interferon-induced transmembrane protein pseudogene	
RNA, 7SL, cytoplasmic 559, pseudogene [Source:HGNC Symbol;Acc:HGNC:46575]	RN7SL559P
XK related 8 [Source:HGNC Symbol;Acc:HGNC:25508]	XKR8
elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	ELOB
trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	TRIO
family with sequence similarity 89 member A [Source:HGNC Symbol;Acc:HGNC:25057]	FAM89A
olfactory receptor family 6 subfamily C member 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:31306]	OR6C7P
microRNA 1182 [Source:HGNC Symbol;Acc:HGNC:35263]	MIR1182
ring finger protein 4 (RNF4) pseudogene	
olfactory receptor family 6 subfamily C member 75 [Source:HGNC Symbol;Acc:HGNC:31304]	OR6C75
peptidylprolyl isomerase A (cyclophilin A) pseudogene (PPIA)	
TRIM67 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41282]	TRIM67-AS1
olfactory receptor family 6 subfamily C member 71 pseudogene [Source:HGNC Symbol;Acc:HGNC:31300]	OR6C71P
olfactory receptor family 6 subfamily C member 66 pseudogene [Source:HGNC Symbol;Acc:HGNC:31296]	OR6C66P
chromosome 1 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:25332]	C1orf131
olfactory receptor family 6 subfamily C member 73 pseudogene [Source:HGNC Symbol;Acc:HGNC:31302]	OR6C73P
RNA, 7SL, cytoplasmic 155, pseudogene [Source:HGNC Symbol;Acc:HGNC:46171]	RN7SL155P
polyhomeotic homolog 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34502]	PHC1P1
zinc finger protein 69 [Source:HGNC Symbol;Acc:HGNC:13138]	ZNF69
olfactory receptor family 6 subfamily C member 76 [Source:HGNC Symbol;Acc:HGNC:31305]	OR6C76
plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	PKP2
zinc finger protein 700 [Source:HGNC Symbol;Acc:HGNC:25292]	ZNF700
novel transcript, sense intronic to transmembrane and coiled-coil domains 7 TMCO7	
RNA, U6 small nuclear 898, pseudogene [Source:HGNC Symbol;Acc:HGNC:47861]	RNU6-898P
deoxyuridine triphosphatase (DUT) pseudogene	
ribosomal protein S2 pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:25709]	RPS2P45
argininosuccinate synthetase 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:765]	ASS1P2
hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]	HAS3
RNA, U6 small nuclear 851, pseudogene [Source:HGNC Symbol;Acc:HGNC:47814]	RNU6-851P
RNA, 5S ribosomal pseudogene 149 [Source:HGNC Symbol;Acc:HGNC:43049]	RNA5SP149
RNA, 7SL, cytoplasmic 96, pseudogene [Source:HGNC Symbol;Acc:HGNC:46112]	RN7SL96P
novel transcript, antisense to ARHGEF33	
glyceraldehyde 3 phosphate dehydrogenase pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:37790]	GAPDHP36
SOS1 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41385]	SOS1-IT1
RALBP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54696]	RALBP1P1
RNA, U6 small nuclear 198, pseudogene [Source:HGNC Symbol;Acc:HGNC:47161]	RNU6-198P
novel transcript, sense overlapping with ZNF700	
heat shock protein family E (Hsp10) member 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:49332]	HSPE1P13
NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	NDUFB5
zinc finger protein 763 [Source:HGNC Symbol;Acc:HGNC:27614]	ZNF763
formin binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44528]	FNBP1P1
novel transcript, antisense to BOLA3	
bolA family member 3 [Source:HGNC Symbol;Acc:HGNC:24415]	BOLA3
long intergenic non-protein coding RNA 1144 [Source:HGNC Symbol;Acc:HGNC:49460]	LINC01144
chromosome transmission fidelity factor 8 [Source:HGNC Symbol;Acc:HGNC:24353]	CHTF8
ZNF433 and ZNF878 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53776]	ZNF433-AS1
target of EGR1, exonuclease [Source:HGNC Symbol;Acc:HGNC:15954]	TOE1
MOB kinase activator 1A [Source:HGNC Symbol;Acc:HGNC:16015]	MOB1A
RNA, 5S ribosomal pseudogene 464 [Source:HGNC Symbol;Acc:HGNC:43364]	RNA5SP464
RNA, 5S ribosomal pseudogene 465 [Source:HGNC Symbol;Acc:HGNC:43365]	RNA5SP465
RNA, 5S ribosomal pseudogene 466 [Source:HGNC Symbol;Acc:HGNC:43366]	RNA5SP466
zinc finger family member 788, pseudogene [Source:HGNC Symbol;Acc:HGNC:33112]	ZNF788P
RNA, U6 small nuclear 22, pseudogene [Source:HGNC Symbol;Acc:HGNC:34266]	RNU6-22P
DERPC proline and glycine rich nuclear protein [Source:HGNC Symbol;Acc:HGNC:54084]	DERPC
testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]	TESK2
