SYMBOL	DESCRIPTION
TXNL4B	Thioredoxin like 4B
LSM12	LSM12 homolog
VPS29	VPS29 retromer complex component
G6PC3	Glucose-6-phosphatase catalytic subunit 3
DHX38	DEAH-box helicase 38
RAD9B	RAD9 checkpoint clamp component B
RNU6-131P	RNA, U6 small nuclear 131, pseudogene
HROB	Homologous recombination factor with OB-fold
KRT18P12	Keratin 18 pseudogene 12
SPATA45	Spermatogenesis associated 45
PLA2G4A	Phospholipase A2 group IVA
ASB16	Ankyrin repeat and SOCS box containing 16
STXBP5	Syntaxin binding protein 5
TMUB2	Transmembrane and ubiquitin like domain containing 2
EIF1P3	Eukaryotic translation initiation factor 1 pseudogene 3
TOP1P1	DNA topoisomerase I pseudogene 1
RPS3AP9	RPS3A pseudogene 9
LINC02869	Long intergenic non-protein coding RNA 2869
UBTF	Upstream binding transcription factor
ETNK2	Ethanolamine kinase 2
LINC02753	Long intergenic non-protein coding RNA 2753
LINC02584	Long intergenic non-protein coding RNA 2584
CDH16	Cadherin 16
RPL29	Ribosomal protein L29
RNU6-1175P	RNA, U6 small nuclear 1175, pseudogene
ANO1-AS1	ANO1 antisense RNA 1
FADD	Fas associated via death domain
VSIG10L2	V-set and immunoglobulin domain containing 10 like 2
PPTC7	Protein phosphatase targeting COQ7
ANO1	Anoctamin 1
IPCEF1	Interaction protein for cytohesin exchange factors 1
RN7SL387P	RNA, 7SL, cytoplasmic 387, pseudogene
HVCN1	Hydrogen voltage gated channel 1
HES2	Hes family bHLH transcription factor 2
DUSP7	Dual specificity phosphatase 7
POC1A	POC1 centriolar protein A
SHCBP1L	SHC binding and spindle associated 1 like
MTA3	Metastasis associated 1 family member 3
PPP1CC	Protein phosphatase 1 catalytic subunit gamma
ALDOAP1	ALDOA pseudogene 1
ALAS1	5'-aminolevulinate synthase 1
RPL23AP22	Ribosomal protein L23a pseudogene 22
TRAF3IP3	TRAF3 interacting protein 3
SPCS2	Signal peptidase complex subunit 2
RNF139-DT	RNF139 divergent transcript
TWF2	Twinfilin actin binding protein 2
RPL29P25	Ribosomal protein L29 pseudogene 25
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
RELA	RELA proto-oncogene, NF-kB subunit
TCTN1	Tectonic family member 1
PPM1M	Protein phosphatase, Mg2+/Mn2+ dependent 1M
CIAO2B	Cytosolic iron-sulfur assembly component 2B
SNAP91	Synaptosome associated protein 91
CES2	Carboxylesterase 2
MIR6782	MicroRNA 6782
WDR82	WD repeat domain 82
MIRLET7G	MicroRNA let-7g
GLYCTK	Glycerate kinase
MIR2909	MicroRNA 2909
DENND3-AS1	DENND3 antisense RNA 1
RN7SL616P	RNA, 7SL, cytoplasmic 616, pseudogene
RNU6-724P	RNA, U6 small nuclear 724, pseudogene
CASC8	Cancer susceptibility 8
GLYCTK-AS1	GLYCTK antisense RNA 1
IDH1	Isocitrate dehydrogenase (NADP(+)) 1
MIR135A1	MicroRNA 135a-1
PPP2R5CP	Protein phosphatase 2 regulatory subunit B'gamma pseudogene
GTF2H2C	GTF2H2 family member C
BAP1	BRCA1 associated protein 1
RPL10AP5	Ribosomal protein L10a pseudogene 5
SEPTIN14P17	Septin 14 pseudogene 17
CES3	Carboxylesterase 3
LPGAT1	Lysophosphatidylglycerol acyltransferase 1
RIPK2-DT	RIPK2 divergent transcript
PROX1	Prospero homeobox 1
RPL23AP18	Ribosomal protein L23a pseudogene 18
RPS20P14	Ribosomal protein S20 pseudogene 14
CES4A	Carboxylesterase 4A
LINC01351	Long intergenic non-protein coding RNA 1351
RPL39L	Ribosomal protein L39 like
DUTP6	Deoxyuridine triphosphatase pseudogene 6
PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
SMPD5	Sphingomyelin phosphodiesterase 5 (pseudogene)
FOLR3	Folate receptor gamma
VPS13B-DT	VPS13B divergent transcript
OR4C3	Olfactory receptor family 4 subfamily C member 3
LINC00534	Long intergenic non-protein coding RNA 534
PCSK7	Proprotein convertase subtilisin/kexin type 7
PID1	Phosphotyrosine interaction domain containing 1
SERPINE2	Serpin family E member 2
PCAT1	Prostate cancer associated transcript 1
ARHGDIA	Rho GDP dissociation inhibitor alpha
RN7SL543P	RNA, 7SL, cytoplasmic 543, pseudogene
KLF15	Kruppel like factor 15
CBFB	Core-binding factor subunit beta
CFAP100-DT	CFAP100 divergent transcript
CFAP100	Cilia and flagella associated protein 100
SNRPD2P2	Small nuclear ribonucleoprotein D2 pseudogene 2
NENF	Neudesin neurotrophic factor
MINCR	MYC-induced long non-coding RNA
BABAM2	BRISC and BRCA1 A complex member 2
HSF4	Heat shock transcription factor 4
SNHG6	Small nucleolar RNA host gene 6
ZXDC	ZXD family zinc finger C
DDX6	DEAD-box helicase 6
PTP4A1P7	PTP4A1 pseudogene 7
LINC01740	Long intergenic non-protein coding RNA 1740
TATDN3	TatD DNase domain containing 3
SLC27A6	Solute carrier family 27 member 6
MCPH1-DT	MCPH1 divergent transcript
UROC1	Urocanate hydratase 1
SLC10A5	Solute carrier family 10 member 5
TUBA1A	Tubulin alpha 1a
ZFAND1	Zinc finger AN1-type containing 1
ISOC1	Isochorismatase domain containing 1
TROAP-AS1	TROAP and PRPH antisense RNA 1
C3orf22	Chromosome 3 open reading frame 22
PRPH	Peripherin
RNA5SP138	RNA, 5S ribosomal pseudogene 138
MIR4633	MicroRNA 4633
NUP210P1	Nucleoporin 210 pseudogene 1
ZDHHC11B	Zinc finger DHHC-type containing 11B
ALYREF	Aly/REF export factor
RCC2P4	Regulator of chromosome condensation 2 pseudogene 4
NRROS	Negative regulator of reactive oxygen species
SETD1A	SET domain containing 1A, histone lysine methyltransferase
RNU6-646P	RNA, U6 small nuclear 646, pseudogene
MARCHF11-DT	MARCHF11 divergent transcript
PAK2	P21 (RAC1) activated kinase 2
NACAP6	NACA pseudogene 6
LINC02150	Long intergenic non-protein coding RNA 2150
ZNF622	Zinc finger protein 622
ANAPC11	Anaphase promoting complex subunit 11
EIPR1	EARP complex and GARP complex interacting protein 1
TROAP	Trophinin associated protein
ARCN1	Archain 1
RNU4-89P	RNA, U4 small nuclear 89, pseudogene
RNU6-42P	RNA, U6 small nuclear 42, pseudogene
CEP19	Centrosomal protein 19
PDCD6-AHRR	PDCD6-AHRR readthrough (NMD candidate)
ENC1	Ectodermal-neural cortex 1
CADM2	Cell adhesion molecule 2
NME3	NME/NM23 nucleoside diphosphate kinase 3
SMIM3	Small integral membrane protein 3
HIKESHI	Heat shock protein nuclear import factor hikeshi
MAN2A1	Mannosidase alpha class 2A member 1
UNC50	Unc-50 inner nuclear membrane RNA binding protein
VWCE	Von Willebrand factor C and EGF domains
MIR5688	MicroRNA 5688
CADM2-AS2	CADM2 antisense RNA 2
CADM2-AS1	CADM2 antisense RNA 1
HMGN1P4	High mobility group nucleosome binding domain 1 pseudogene 4
THAP12P2	THAP domain containing 12 pseudogene 2
MTND5P18	MT-ND5 pseudogene 18
SELP	Selectin P
COPB2	COPI coat complex subunit beta 2
TEPP	Testis, prostate and placenta expressed
STC2	Stanniocalcin 2
MYO3B	Myosin IIIB
SOCS1	Suppressor of cytokine signaling 1
NUMA1	Nuclear mitotic apparatus protein 1
OR2V2	Olfactory receptor family 2 subfamily V member 2
DNASE1	Deoxyribonuclease 1
ANXA2R	Annexin A2 receptor
APBB3	Amyloid beta precursor protein binding family B member 3
C1QL4	Complement C1q like 4
DNAJC22	DnaJ heat shock protein family (Hsp40) member C22
CHMP4C	Charged multivesicular body protein 4C
QRICH1	Glutamine rich 1
MIR6762	MicroRNA 6762
PLBD2	Phospholipase B domain containing 2
HNRNPA1P36	Heterogeneous nuclear ribonucleoprotein A1 pseudogene 36
FABP12	Fatty acid binding protein 12
GPAT4-AS1	GPAT4 and GINS4 antisense RNA 1
SLC4A1APP2	Solute carrier family 4 member 1 adaptor protein pseudogene 2
RSL24D1P4	Ribosomal L24 domain containing 1 pseudogene 4
KRT18P37	Keratin 18 pseudogene 37
NPB	Neuropeptide B
GINS4	GINS complex subunit 4
PCYT2	Phosphate cytidylyltransferase 2, ethanolamine
SDS	Serine dehydratase
RN7SL182P	RNA, 7SL, cytoplasmic 182, pseudogene
QARS1	Glutaminyl-tRNA synthetase 1
ATXN2L	Ataxin 2 like
SDSL	Serine dehydratase like
GPAT4	Glycerol-3-phosphate acyltransferase 4
LHX5	LIM homeobox 5
CALHM4	Calcium homeostasis modulator family member 4
SLC8B1	Solute carrier family 8 member B1
GOLGA7	Golgin A7
AMER3	APC membrane recruitment protein 3
SPAST	Spastin
RAB5B	RAB5B, member RAS oncogene family
CAMK1G	Calcium/calmodulin dependent protein kinase IG
TAS2R1	Taste 2 receptor member 1
DOK3	Docking protein 3
ZNF672	Zinc finger protein 672
SUOX	Sulfite oxidase
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1
RPS23	Ribosomal protein S23
DCP2	Decapping mRNA 2
UHMK1	U2AF homology motif kinase 1
SIRT7	Sirtuin 7
IKZF4	IKAROS family zinc finger 4
EME2	Essential meiotic structure-specific endonuclease subunit 2
LINC02771	Long intergenic non-protein coding RNA 2771
LINC01735	Long intergenic non-protein coding RNA 1735
C1orf74	Chromosome 1 open reading frame 74
LAMB3	Laminin subunit beta 3
SPATA33	Spermatogenesis associated 33
ZNF608	Zinc finger protein 608
KCNG4	Potassium voltage-gated channel modifier subfamily G member 4
USP31	Ubiquitin specific peptidase 31
RPS26	Ribosomal protein S26
C16orf96	Chromosome 16 open reading frame 96
PA2G4	Proliferation-associated 2G4
DSTYK	Dual serine/threonine and tyrosine protein kinase
PKD1L3	Polycystin 1 like 3, transient receptor potential channel interacting
TIGD1	Tigger transposable element derived 1
HTRA2	HtrA serine peptidase 2
GAPDHP40	Glyceraldehyde 3 phosphate dehydrogenase pseudogene 40
TTC1	Tetratricopeptide repeat domain 1
MAFG	MAF bZIP transcription factor G
BRICD5	BRICHOS domain containing 5
MAFG-DT	MAFG divergent transcript
PYCR1	Pyrroline-5-carboxylate reductase 1
RBFOX1	RNA binding fox-1 homolog 1
CFAP36	Cilia and flagella associated protein 36
LEMD1	LEM domain containing 1
RPL41	Ribosomal protein L41
PWWP2A	PWWP domain containing 2A
ESYT1	Extended synaptotagmin 1
FABP6-AS1	FABP6 antisense RNA 1
BIRC2	Baculoviral IAP repeat containing 2
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19
LINC01710	Long intergenic non-protein coding RNA 1710
IPO8P1	Importin 8 pseudogene 1
AHCYP8	Adenosylhomocysteinase pseudogene 8
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
PGR	Progesterone receptor
PLK2	Polo like kinase 2
UGP2	UDP-glucose pyrophosphorylase 2
TSNAX	Translin associated factor X
ZC3H10	Zinc finger CCCH-type containing 10
GRAMD1B	GRAM domain containing 1B
MYL6B-AS1	MYL6B antisense RNA 1
MYL6B	Myosin light chain 6B
SESN1	Sestrin 1
MIR548AE2	MicroRNA 548ae-2
LINC02108	Long intergenic non-protein coding RNA 2108
LINC00492	Long intergenic non-protein coding RNA 492
LINC00491	Long intergenic non-protein coding RNA 491
EIF3KP1	Eukaryotic translation initiation factor 3 subunit K pseudogene 1
GIN1	Gypsy retrotransposon integrase 1
LINC01138	Long intergenic non-protein coding RNA 1138
MYL6	Myosin light chain 6
RPS27AP5	Ribosomal protein S27a pseudogene 5
OR2V1	Olfactory receptor family 2 subfamily V member 1
LINC02769	Long intergenic non-protein coding RNA 2769
RNU7-175P	RNA, U7 small nuclear 175 pseudogene
SUMO2P5	SUMO2 pseudogene 5
NOS1AP	Nitric oxide synthase 1 adaptor protein
RIMS1	Regulating synaptic membrane exocytosis 1
CERT1	Ceramide transporter 1
MIR6890	MicroRNA 6890
LAMB2	Laminin subunit beta 2
FAM71A	Family with sequence similarity 71 member A
RNPEP	Arginyl aminopeptidase
MYADML2	Myeloid associated differentiation marker like 2
NOTUM	Notum, palmitoleoyl-protein carboxylesterase
LAMB2P1	Laminin subunit beta 2 pseudogene 1
CCDC71	Coiled-coil domain containing 71
KLHDC8B	Kelch domain containing 8B
CALR	Calreticulin
C3orf84	Chromosome 3 open reading frame 84
ACTG1	Actin gamma 1
IMPDH2	Inosine monophosphate dehydrogenase 2
UBBP3	Ubiquitin B pseudogene 3
KIF5C-AS1	KIF5C antisense RNA 1
RPS20P13	Ribosomal protein S20 pseudogene 13
CCDC194	Coiled-coil domain containing 194
USP8P2	USP8 pseudogene 2
BST2	Bone marrow stromal cell antigen 2
TXNP5	Thioredoxin pseudogene 5
CCDC150	Coiled-coil domain containing 150
SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
BISPR	BST2 interferon stimulated positive regulator
MMP13	Matrix metallopeptidase 13
ANGEL2	Angel homolog 2
MVB12A	Multivesicular body subunit 12A
EPS8L2	EPS8 like 2
CLRN1	Clarin 1
ITLN1	Intelectin 1
GTF3C3	General transcription factor IIIC subunit 3
ACAD11	Acyl-CoA dehydrogenase family member 11
KIAA0040	KIAA0040
TMEM221	Transmembrane protein 221
NXNL1	Nucleoredoxin like 1
RGSL1	Regulator of G protein signaling like 1
RASIP1	Ras interacting protein 1
IL32	Interleukin 32
C2orf66	Chromosome 2 open reading frame 66
FUT6	Fucosyltransferase 6
PGAP1	Post-GPI attachment to proteins inositol deacylase 1
NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)
ACKR4	Atypical chemokine receptor 4
FUT5	Fucosyltransferase 5
HSPA8P19	Heat shock protein family A (Hsp70) member pseudogene 19
RNA5SP462	RNA, 5S ribosomal pseudogene 462
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1
PTPRJ	Protein tyrosine phosphatase receptor type J
LINC01983	Long intergenic non-protein coding RNA 1983
KIF3AP1	Kinesin family member 3A pseudogene 1
MIR6829	MicroRNA 6829
TNK2-AS1	TNK2 antisense RNA 1
RNU2-11P	RNA, U2 small nuclear 11, pseudogene
SDHAP1	Succinate dehydrogenase complex flavoprotein subunit A pseudogene 1
P4HB	Prolyl 4-hydroxylase subunit beta
BSG	Basigin (Ok blood group)
OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1
TFRC	Transferrin receptor
G0S2	G0/G1 switch 2
DISC1-IT1	DISC1 intronic transcript 1
RNF41	Ring finger protein 41
LINC01346	Long intergenic non-protein coding RNA 1346
RPS26P13	Ribosomal protein S26 pseudogene 13
HNRNPA3P15	Heterogeneous nuclear ribonucleoprotein A3 pseudogene 15
EXOC8	Exocyst complex component 8
RPL4P7	Ribosomal protein L4 pseudogene 7
BLACAT1	Bladder cancer associated transcript 1
KRTAP5-11	Keratin associated protein 5-11
IL1R1	Interleukin 1 receptor type 1
GAPDHP75	Glyceraldehyde-3-phosphate dehydrogenase pseudogene 75
ODF3	Outer dense fiber of sperm tails 3
RGS16	Regulator of G protein signaling 16
POLK	DNA polymerase kappa
PSMD13	Proteasome 26S subunit, non-ATPase 13
CCNQP1	CCNQ pseudogene 1
BRINP2	BMP/retinoic acid inducible neural specific 2
ATP6V0A1	ATPase H+ transporting V0 subunit a1
KCNH1-IT1	KCNH1 intronic transcript 1
NEK7	NIMA related kinase 7
NABP2	Nucleic acid binding protein 2
RNU7-18P	RNA, U7 small nuclear 18 pseudogene
TMEM40	Transmembrane protein 40
PGBD5	PiggyBac transposable element derived 5
COX5BP8	Cytochrome c oxidase subunit 5B pseudogene 8
GRIN2D	Glutamate ionotropic receptor NMDA type subunit 2D
SLC39A5	Solute carrier family 39 member 5
ANKRD45	Ankyrin repeat domain 45
FAM83E	Family with sequence similarity 83 member E
SYT2	Synaptotagmin 2
PAMR1	Peptidase domain containing associated with muscle regeneration 1
TBXA2R	Thromboxane A2 receptor
ZNF695	Zinc finger protein 695
CACTIN-AS1	CACTIN antisense RNA 1
CACTIN	Cactin, spliceosome C complex subunit
IL1R1-AS1	IL1R1 antisense RNA 1
IL1RL2	Interleukin 1 receptor like 2
ANKRD52	Ankyrin repeat domain 52
SMYD3-IT1	SMYD3 intronic transcript 1
CLEC20A	C-type lectin domain containing 20A
LINC02789	Long intergenic non-protein coding RNA 2789
YWHAQP9	YWHAQ pseudogene 9
RPS6KC1	Ribosomal protein S6 kinase C1
FAM183DP	Family with sequence similarity 183 member D, pseudogene
ANKDD1B	Ankyrin repeat and death domain containing 1B
IL1RL1	Interleukin 1 receptor like 1
COQ10A	Coenzyme Q10A
KRT18P17	Keratin 18 pseudogene 17
PIP5K1C	Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma
CAND2	Cullin associated and neddylation dissociated 2 (putative)
CHRDL2	Chordin like 2
DNAH5	Dynein axonemal heavy chain 5
CS	Citrate synthase
SDR42E1P5	Short chain dehydrogenase/reductase family 42E, member 1 pseudogene 5
MIR4772	MicroRNA 4772
SLC9A4	Solute carrier family 9 member A4
RPL32	Ribosomal protein L32
LIPT1	Lipoyltransferase 1
LDHAL6A	Lactate dehydrogenase A like 6A
SNORA7A	Small nucleolar RNA, H/ACA box 7A
AKAP8	A-kinase anchoring protein 8
MITD1	Microtubule interacting and trafficking domain containing 1
TRIM3	Tripartite motif containing 3
GSK3B	Glycogen synthase kinase 3 beta
KRT18P28	Keratin 18 pseudogene 28
TMCC2	Transmembrane and coiled-coil domain family 2
MRPL30	Mitochondrial ribosomal protein L30
CAMK2A	Calcium/calmodulin dependent protein kinase II alpha
FRMD1	FERM domain containing 1
PM20D1	Peptidase M20 domain containing 1
GRAMD1A	GRAM domain containing 1A
LYG1	Lysozyme g1
SELENOH	Selenoprotein H
TUBG1	Tubulin gamma 1
MDK	Midkine
TXNDC9	Thioredoxin domain containing 9
CCR10	C-C motif chemokine receptor 10
CNTNAP1	Contactin associated protein 1
LINC01686	Long intergenic non-protein coding RNA 1686
TGIF2P1	TGFB induced factor homeobox 2 pseudogene 1
RPL23AP16	Ribosomal protein L23a pseudogene 16
ZNF670-ZNF695	ZNF670-ZNF695 readthrough (NMD candidate)
NUP133	Nucleoporin 133
SEPHS1P6	Selenophosphate synthetase 1 pseudogene 6
EZH1	Enhancer of zeste 1 polycomb repressive complex 2 subunit
SCYL1	SCY1 like pseudokinase 1
MTARC2	Mitochondrial amidoxime reducing component 2
CCR6	C-C motif chemokine receptor 6
RAB6B	RAB6B, member RAS oncogene family
RN7SL717P	RNA, 7SL, cytoplasmic 717, pseudogene
C2orf69	Chromosome 2 open reading frame 69
RFX2	Regulatory factor X2
LINC00336	Long intergenic non-protein coding RNA 336
LINC01717	Long intergenic non-protein coding RNA 1717
TYW5	TRNA-yW synthesizing protein 5
LINC01704	Long intergenic non-protein coding RNA 1704
LINC01010	Long intergenic non-protein coding RNA 1010
PRELID1P5	PRELID1 pseudogene 5
LINC01743	Long intergenic non-protein coding RNA 1743
RAET1K	Retinoic acid early transcript 1K pseudogene
RGS21	Regulator of G protein signaling 21
LINC00326	Long intergenic non-protein coding RNA 326
C3orf36	Chromosome 3 putative open reading frame 36
RGS1	Regulator of G protein signaling 1
C3orf62	Chromosome 3 open reading frame 62
MIR1301	MicroRNA 1301
ARNILA	Androgen receptor negatively regulated lncRNA
DTNB-AS1	DTNB antisense RNA 1
LINC01558	Long intergenic non-protein coding RNA 1558
MIR4271	MicroRNA 4271
USP4	Ubiquitin specific peptidase 4
TFCP2L1	Transcription factor CP2 like 1
CNPY2	Canopy FGF signaling regulator 2
LINC01615	Long intergenic non-protein coding RNA 1615
CLASP1	Cytoplasmic linker associated protein 1
RGS5-AS1	RGS5 antisense RNA 1
LINC01774	Long intergenic non-protein coding RNA 1774
PYHIN5P	Pyrin and HIN domain family member 5, pseudogene
MROCKI	MARCKS cis regulating lncRNA promoter of cytokines and inflammation
AIM2	Absent in melanoma 2
IL23A	Interleukin 23 subunit alpha
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
FOXCUT	FOXC1 upstream transcript
MLLT1	MLLT1 super elongation complex subunit
STAT2	Signal transducer and activator of transcription 2
HDAC2-AS2	HDAC2 and HS3ST5 antisense RNA 2
ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
ACER1	Alkaline ceramidase 1
ALDH3B1	Aldehyde dehydrogenase 3 family member B1
MIR6780A	MicroRNA 6780a
HMGN2P15	High mobility group nucleosomal binding domain 2 pseudogene 15
RAMP2-AS1	RAMP2 antisense RNA 1
CLPP	Caseinolytic mitochondrial matrix peptidase proteolytic subunit
ZSCAN12P1	Zinc finger and SCAN domain containing 12 pseudogene 1
RAMP2	Receptor activity modifying protein 2
ALKBH7	AlkB homolog 7
VPS25	Vacuolar protein sorting 25 homolog
GTF2F1	General transcription factor IIF subunit 1
MSANTD4	Myb/SANT DNA binding domain containing 4 with coiled-coils
HULC	Hepatocellular carcinoma up-regulated long non-coding RNA
TLCD3A	TLC domain containing 3A
APBB1	Amyloid beta precursor protein binding family B member 1
RHOA-IT1	RHOA intronic transcript 1
LINC00870	Long intergenic non-protein coding RNA 870
GEMIN4	Gem nuclear organelle associated protein 4
TMEM44	Transmembrane protein 44
TRIM43B	Tripartite motif containing 43B
TRIM64FP	Tripartite motif containing 64F, pseudogene
DBIL5P	Diazepam binding inhibitor-like 5, pseudogene
MRM3	Mitochondrial rRNA methyltransferase 3
OR7E102P	Olfactory receptor family 7 subfamily E member 102 pseudogene
TRIM51JP	Tripartite motif-containing 51J, pseudogene
TRIM43	Tripartite motif containing 43
RFFL	Ring finger and FYVE like domain containing E3 ubiquitin protein ligase
MIR6885	MicroRNA 6885
MIR6790	MicroRNA 6790
UBTFL3	UBTF like 3 (pseudogene)
MIR3940	MicroRNA 3940
SLC25A41	Solute carrier family 25 member 41
RNU7-40P	RNA, U7 small nuclear 40 pseudogene
APOF	Apolipoprotein F
APONP	Apolipoprotein N, pseudogene
NPM1P46	Nucleophosmin 1 pseudogene 46
SLCO1B1	Solute carrier organic anion transporter family member 1B1
SF3B1	Splicing factor 3b subunit 1
SLC25A23	Solute carrier family 25 member 23
GUSBP17	GUSB pseudogene 17
IAPP	Islet amyloid polypeptide
BVES-AS1	BVES antisense RNA 1
CARTPT	CART prepropeptide
PYROXD1	Pyridine nucleotide-disulphide oxidoreductase domain 1
ECE2	Endothelin converting enzyme 2
PGBD2	PiggyBac transposable element derived 2
RNA5SP190	RNA, 5S ribosomal pseudogene 190
FABP5P6	Fatty acid binding protein 5 pseudogene 6
PPIAP37	Peptidylprolyl isomerase A pseudogene 37
FAM170A	Family with sequence similarity 170 member A
PRKAB2	Protein kinase AMP-activated non-catalytic subunit beta 2
RNU6-840P	RNA, U6 small nuclear 840, pseudogene
FNDC8	Fibronectin type III domain containing 8
TUBAP15	Tubulin alpha pseudogene 15
ELOCP31	Elongin C pseudogene 31
RAC1P7	Rac family small GTPase 1 pseudogene 7
NLE1	Notchless homolog 1
FBN3	Fibrillin 3
RECQL	RecQ like helicase
FLVCR1	FLVCR heme transporter 1
HSD17B4	Hydroxysteroid 17-beta dehydrogenase 4
RNU6-1029P	RNA, U6 small nuclear 1029, pseudogene
HSPE1	Heat shock protein family E (Hsp10) member 1
FBXO30-DT	FBXO30 divergent transcript
LEMD1-DT	LEMD1 divergent transcript
SLC41A1	Solute carrier family 41 member 1
HSPE1-MOB4	HSPE1-MOB4 readthrough
MOB4	MOB family member 4, phocein
STXBP5-AS1	STXBP5 antisense RNA 1
GOLT1B	Golgi transport 1B
PHLDB1	Pleckstrin homology like domain family B member 1
USH2A	Usherin
PCBP4	Poly(rC) binding protein 4
UNC45B	Unc-45 myosin chaperone B
SPX	Spexin hormone
YARS2	Tyrosyl-tRNA synthetase 2
RPL35AP27	Ribosomal protein L35a pseudogene 27
MIR4701	MicroRNA 4701
ADCY6-DT	ADCY6 divergent transcript
CACNB3	Calcium voltage-gated channel auxiliary subunit beta 3
CCDC173	Coiled-coil domain containing 173
LINC01512	Long intergenic non-protein coding RNA 1512
CCDC162P	Coiled-coil domain containing 162, pseudogene
PHOSPHO2	Phosphatase, orphan 2
KLHL23	Kelch like family member 23
RBM22P13	RNA binding motif protein 22 pseudogene 13
ZNF267	Zinc finger protein 267
SLFN5	Schlafen family member 5
LINC02817	Long intergenic non-protein coding RNA 2817
PTCHD3P2	Patched domain containing 3 pseudogene 2
CYB5AP2	Cytochrome b5 type A pseudogene 2
BTN2A3P	Butyrophilin subfamily 2 member A3, pseudogene
SSB	Small RNA binding exonuclease protection factor La
RPL23AP25	Ribosomal protein L23a pseudogene 25
RAD51D	RAD51 paralog D
LINC02901	Long intergenic non-protein coding RNA 2901
IGHV1OR16-1	Immunoglobulin heavy variable 1/OR16-1 (pseudogene)
RPL31P13	Ribosomal protein L31 pseudogene 13
IGHV1OR16-3	Immunoglobulin heavy variable 1/OR16-3 (pseudogene)
LINC01344	Long intergenic non-protein coding RNA 1344
IGHV3OR16-9	Immunoglobulin heavy variable 3/OR16-9 (non-functional)
HERC2P4	Hect domain and RLD 2 pseudogene 4
METTL5	Methyltransferase 5, N6-adenosine
SMYD3-AS1	SMYD3 antisense RNA 1
ZNF670	Zinc finger protein 670
DDX23	DEAD-box helicase 23
WNT11	Wnt family member 11
ADSS2	Adenylosuccinate synthase 2
ABHD17AP8	ABHD17A pseudogene 8
ECT2	Epithelial cell transforming 2
TP53TG3D	TP53 target 3D
FOLR2	Folate receptor beta
PLD5	Phospholipase D family member 5
NPIPB9	Nuclear pore complex interacting protein family member B9
RND1	Rho family GTPase 1
PRSS33	Serine protease 33
ADCY6	Adenylate cyclase 6
NSA2P5	NSA2 pseudogene 5
NXNP1	Nucleoredoxin pseudogene 1
ELF3-AS1	ELF3 antisense RNA 1
RNU6-1006P	RNA, U6 small nuclear 1006, pseudogene
BANF1P4	BANF1 pseudogene 4
LMOD1	Leiomodin 1
P2RX3	Purinergic receptor P2X 3
CHD9	Chromodomain helicase DNA binding protein 9
RNF217-AS1	RNF217 antisense RNA 1 (head to head)
HSPD1	Heat shock protein family D (Hsp60) member 1
MPHOSPH9	M-phase phosphoprotein 9
ACBD6	Acyl-CoA binding domain containing 6
LINC00271	Long intergenic non-protein coding RNA 271
INPPL1	Inositol polyphosphate phosphatase like 1
AKAP8L	A-kinase anchoring protein 8 like
KCNH1	Potassium voltage-gated channel subfamily H member 1
ATXN1-AS1	ATXN1 antisense RNA 1
FOXP4-AS1	FOXP4 antisense RNA 1
SCIRT	Stem cell inhibitory RNA transcript
CD44	CD44 molecule (Indian blood group)
CDK2AP1	Cyclin dependent kinase 2 associated protein 1
RNA5SP375	RNA, 5S ribosomal pseudogene 375
SBNO1	Strawberry notch homolog 1
RETREG1	Reticulophagy regulator 1
XRN1	5'-3' exoribonuclease 1
MIR8072	MicroRNA 8072
MTRFR	Mitochondrial translation release factor in rescue
ST7L	Suppression of tumorigenicity 7 like
CHST5	Carbohydrate sulfotransferase 5
DHX37	DEAH-box helicase 37
TNPO1	Transportin 1
UBR3	Ubiquitin protein ligase E3 component n-recognin 3
SH2B1	SH2B adaptor protein 1
TMEM30A-DT	TMEM30A divergent transcript
LINC02520	Long intergenic non-protein coding RNA 2520
YJU2B	YJU2 splicing factor homolog B
CMAHP	Cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene
RPEP5	Ribulose-5-phosphate-3-epimerase pseudogene 5
TIMM8AP1	Translocase of inner mitochondrial membrane 8A pseudogene 1
EIF3EP2	Eukaryotic translation initiation factor 3 subunit E pseudogene 2
BRI3BP	BRI3 binding protein
GCG	Glucagon
THRIL	TNF and HNRNPL related immunoregulatory long non-coding RNA
MRI1	Methylthioribose-1-phosphate isomerase 1
AACS	Acetoacetyl-CoA synthetase
SEZ6L2	Seizure related 6 homolog like 2
RNA5SP112	RNA, 5S ribosomal pseudogene 112
LINC01621	Long intergenic non-protein coding RNA 1621
